parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc,
TN,TN828 ,,,828,011,SURF,2024-07-11,10:13:00 AM,0,0,,ug/L,530,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1138 ,,,1138,011,EPI,2024-07-25,11:04:00 AM,0,3.3,,ug/L,600,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1139 ,,,1139,011,EPI,2024-07-25,11:04:00 AM,0,3.3,,ug/L,550,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1140 ,,,1140,011,EPI,2024-07-25,11:04:00 AM,0,3.3,,ug/L,580,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN896 ,,,896,011,SURF,2024-07-25,11:04:00 AM,0,0,,ug/L,510,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN897 ,,,897,011,SURF,2024-07-25,11:04:00 AM,0,0,,ug/L,520,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1717 ,,,1717,011,SURF,2024-07-25,11:04:00 AM,0,0,,ug/L,490,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1718 ,,,1718,011,SURF,2024-07-25,11:04:00 AM,0,0,,ug/L,490,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1719 ,,,1719,011,SURF,2024-07-25,11:04:00 AM,0,0,,ug/L,460,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1345 ,,,1345,011,EPI,2024-08-08,11:36:00 AM,0,3.4,,ug/L,480,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1346 ,,,1346,011,EPI,2024-08-08,11:36:00 AM,0,3.4,,ug/L,480,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1347 ,,,1347,011,EPI,2024-08-08,11:36:00 AM,0,3.4,,ug/L,480,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1342 ,,,1342,011,SURF,2024-08-08,11:36:00 AM,0,0,,ug/L,480,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1343 ,,,1343,011,SURF,2024-08-08,11:36:00 AM,0,0,,ug/L,480,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN1344 ,,,1344,011,SURF,2024-08-08,11:36:00 AM,0,0,,ug/L,490,,,Peaceful_Valley,Peaceful Valley 1,,
TN,TN265 ,,,265,014,EPI,2024-06-06,8:51:00 AM,0,1.666,,ug/L,580,,,Tishomingo,Tishomingo 1,,
TN,TN266 ,,,266,014,EPI,2024-06-06,8:51:00 AM,0,1.666,,ug/L,560,,,Tishomingo,Tishomingo 1,,
TN,TN267 ,,,267,014,EPI,2024-06-06,8:51:00 AM,0,1.666,,ug/L,550,,,Tishomingo,Tishomingo 1,,
TN,TN262 ,,,262,014,SURF,2024-06-06,8:51:00 AM,0,0,,ug/L,550,,,Tishomingo,Tishomingo 1,,
TN,TN263 ,,,263,014,SURF,2024-06-06,8:51:00 AM,0,0,,ug/L,590,,,Tishomingo,Tishomingo 1,,
TN,TN264 ,,,264,014,SURF,2024-06-06,8:51:00 AM,0,0,,ug/L,580,,,Tishomingo,Tishomingo 1,,
TN,TN595 ,,,595,014,EPI,2024-06-25,8:53:00 AM,0,2.259,,ug/L,430,,,Tishomingo,Tishomingo 1,,
TN,TN596 ,,,596,014,EPI,2024-06-25,8:53:00 AM,0,2.259,,ug/L,430,,,Tishomingo,Tishomingo 1,,
TN,TN597 ,,,597,014,EPI,2024-06-25,8:53:00 AM,0,2.259,,ug/L,440,,,Tishomingo,Tishomingo 1,,
TN,TN592 ,,,592,014,SURF,2024-06-25,8:53:00 AM,0,0,,ug/L,430,,,Tishomingo,Tishomingo 1,,
TN,TN593 ,,,593,014,SURF,2024-06-25,8:53:00 AM,0,0,,ug/L,510,,,Tishomingo,Tishomingo 1,,
TN,TN594 ,,,594,014,SURF,2024-06-25,8:53:00 AM,0,0,,ug/L,440,,,Tishomingo,Tishomingo 1,,
TN,TN1030 ,,,1030,014,EPI,2024-07-23,8:44:00 AM,0,1.25,,ug/L,680,,,Tishomingo,Tishomingo 1,,
TN,TN1031 ,,,1031,014,EPI,2024-07-23,8:44:00 AM,0,1.25,,ug/L,700,,,Tishomingo,Tishomingo 1,,
TN,TN1032 ,,,1032,014,EPI,2024-07-23,8:44:00 AM,0,1.25,,ug/L,720,,,Tishomingo,Tishomingo 1,,
TN,TN1027 ,,,1027,014,SURF,2024-07-23,8:44:00 AM,0,0,,ug/L,720,,,Tishomingo,Tishomingo 1,,
TN,TN1028 ,,,1028,014,SURF,2024-07-23,8:44:00 AM,0,0,,ug/L,740,,,Tishomingo,Tishomingo 1,,
TN,TN1029 ,,,1029,014,SURF,2024-07-23,8:44:00 AM,0,0,,ug/L,740,,,Tishomingo,Tishomingo 1,,
TN,TN1408 ,,,1408,014,EPI,2024-08-13,8:51:00 AM,0,2.746,,ug/L,890,,,Tishomingo,Tishomingo 1,,
TN,TN1409 ,,,1409,014,EPI,2024-08-13,8:51:00 AM,0,2.746,,ug/L,940,,,Tishomingo,Tishomingo 1,,
TN,TN1410 ,,,1410,014,EPI,2024-08-13,8:51:00 AM,0,2.746,,ug/L,880,,,Tishomingo,Tishomingo 1,,
TN,TN1405 ,,,1405,014,SURF,2024-08-13,8:51:00 AM,0,0,,ug/L,800,,,Tishomingo,Tishomingo 1,,
TN,TN1406 ,,,1406,014,SURF,2024-08-13,8:51:00 AM,0,0,,ug/L,800,,,Tishomingo,Tishomingo 1,,
TN,TN1407 ,,,1407,014,SURF,2024-08-13,8:51:00 AM,0,0,,ug/L,790,,,Tishomingo,Tishomingo 1,,
TN,TN247 ,,,247,018,EPI,2024-06-06,1:33:00 PM,0,2.506,,ug/L,350,,,Capri,Capri 1,,
TN,TN248 ,,,248,018,EPI,2024-06-06,1:33:00 PM,0,2.506,,ug/L,360,,,Capri,Capri 1,,
TN,TN249 ,,,249,018,EPI,2024-06-06,1:33:00 PM,0,2.506,,ug/L,360,,,Capri,Capri 1,,
TN,TN244 ,,,244,018,SURF,2024-06-06,1:33:00 PM,0,0,,ug/L,330,,,Capri,Capri 1,,
TN,TN245 ,,,245,018,SURF,2024-06-06,1:33:00 PM,0,0,,ug/L,330,,,Capri,Capri 1,,
TN,TN246 ,,,246,018,SURF,2024-06-06,1:33:00 PM,0,0,,ug/L,360,,,Capri,Capri 1,,
TN,TN589 ,,,589,018,EPI,2024-06-25,1:52:00 PM,0,3.75,,ug/L,260,,,Capri,Capri 1,,
TN,TN590 ,,,590,018,EPI,2024-06-25,1:52:00 PM,0,3.75,,ug/L,320,,,Capri,Capri 1,,
TN,TN591 ,,,591,018,EPI,2024-06-25,1:52:00 PM,0,3.75,,ug/L,320,,,Capri,Capri 1,,
TN,TN586 ,,,586,018,SURF,2024-06-25,1:52:00 PM,0,0,,ug/L,330,,,Capri,Capri 1,,
TN,TN587 ,,,587,018,SURF,2024-06-25,1:52:00 PM,0,0,,ug/L,310,,,Capri,Capri 1,,
TN,TN588 ,,,588,018,SURF,2024-06-25,1:52:00 PM,0,0,,ug/L,270,,,Capri,Capri 1,,
TN,TN1012 ,,,1012,018,EPI,2024-07-23,12:46:00 PM,0,5.037,,ug/L,310,,,Capri,Capri 1,,
TN,TN1013 ,,,1013,018,EPI,2024-07-23,12:46:00 PM,0,5.037,,ug/L,330,,,Capri,Capri 1,,
TN,TN1014 ,,,1014,018,EPI,2024-07-23,12:46:00 PM,0,5.037,,ug/L,310,,,Capri,Capri 1,,
TN,TN1009 ,,,1009,018,SURF,2024-07-23,12:46:00 PM,0,0,,ug/L,290,,,Capri,Capri 1,,
TN,TN1010 ,,,1010,018,SURF,2024-07-23,12:46:00 PM,0,0,,ug/L,300,,,Capri,Capri 1,,
TN,TN1011 ,,,1011,018,SURF,2024-07-23,12:46:00 PM,0,0,,ug/L,320,,,Capri,Capri 1,,
TN,TN1390 ,,,1390,018,EPI,2024-08-13,12:24:00 PM,0,5.32,,ug/L,230,,,Capri,Capri 1,,
TN,TN1391 ,,,1391,018,EPI,2024-08-13,12:24:00 PM,0,5.32,,ug/L,250,,,Capri,Capri 1,,
TN,TN1392 ,,,1392,018,EPI,2024-08-13,12:24:00 PM,0,5.32,,ug/L,250,,,Capri,Capri 1,,
